barcode,parcel_plot,parcel_spalte,parcel_reihe,parcel_r4s,plant_weight_g,plant_weight_kg,n_plants,plant_weight_per_plant_g,observations,plot_trap_disassemble,larvae_in_tray_manual,tray_observation
Plot1_Spalte1_Reihe1_R4S_470_A4C,1,1,1,470,109.0,0.109,8,13.625,rotten roots an leaves,1,0,
Plot2_Spalte1_Reihe2_R4S_212_Ask,2,1,2,212,457.0,0.457,11,41.545454545454554,,missing?,,
Plot3_Spalte1_Reihe3_R4S_291_Wol,3,1,3,291,468.0,0.468,10,46.8,,3,1,
Plot4_Spalte1_Reihe4_R4S_387_Lir,4,1,4,387,538.0,0.538,11,48.90909090909091,,4,0,
Plot5_Spalte1_Reihe5_R4S_433_SEM,5,1,5,433,332.0,0.332,10,33.2,,5,0,
Plot6_Spalte1_Reihe6_R4S_521_Tai,6,1,6,521,694.0,0.694,10,69.4,,6,0,
Plot7_Spalte1_Reihe7_R4S_406_S30,7,1,7,406,514.0,0.514,11,46.72727272727273,,7,1 pupae in,
Plot8_Spalte1_Reihe8_R4S_427_J 1,8,1,8,427,566.0,0.566,9,62.888888888888886,,8,12i,
Plot9_Spalte1_Reihe9_R4S_209_Fal,9,1,9,209,592.0,0.592,10,59.2,,9,0,
Plot10_Spalte1_Reihe10_R4S_442_I,10,1,10,442,469.0,0.469,10,46.9,,10,2i,
Plot11_Spalte1_Reihe11_R4S_386_M,11,1,11,386,575.0,0.575,11,52.27272727272727,,11,0,
Plot12_Spalte1_Reihe12_R4S_437_S,12,1,12,437,581.0,0.581,10,58.1,big plants,12,0,
Plot13_Spalte1_Reihe13_R4S_177_S,13,1,13,177,557.0,0.557,10,55.7,,13,1i,
Plot14_Spalte1_Reihe14_R4S_408_D,14,1,14,408,470.0,0.47,10,47.0,,14,0,
Plot15_Spalte1_Reihe15_R4S_389_L,15,1,15,389,423.0,0.423,10,42.3,,15,6i,
Plot16_Spalte1_Reihe16_R4S_265_P,16,1,16,265,362.0,0.362,10,36.2,,16,8i,
Plot17_Spalte1_Reihe17_R4S_242_S,17,1,17,242,422.0,0.422,10,42.2,,17,4i,
Plot18_Spalte1_Reihe18_R4S_187_A,18,1,18,187,676.0,0.676,10,67.6,,18,7i,
Plot19_Spalte1_Reihe19_R4S_531_W,19,1,19,531,400.0,0.4,10,40.0,,19,0,
Plot20_Spalte1_Reihe20_R4S_147_P,20,1,20,147,424.0,0.424,10,42.4,,20,0,
Plot21_Spalte1_Reihe21_R4S_266_A,21,1,21,266,532.0,0.532,10,53.2,,21,0,
Plot22_Spalte1_Reihe22_R4S_224_A,22,1,22,224,569.0,0.569,10,56.9,,22,5i / 1 pupae,
Plot23_Spalte1_Reihe23_R4S_379_S,23,1,23,379,402.0,0.402,10,40.2,,23,0,
Plot24_Spalte1_Reihe24_R4S_384_M,24,1,24,384,478.0,0.478,11,43.454545454545446,,24,1i,
Plot25_Spalte1_Reihe25_R4S_344_C,25,1,25,344,237.0,0.237,10,23.7,,25,0,
Plot26_Spalte1_Reihe26_R4S_225_B,26,1,26,225,590.0,0.59,10,59.0,,26,2i,
Plot27_Spalte1_Reihe27_R4S_342_P,27,1,27,342,194.0,0.194,10,19.4,,27,0,
Plot28_Spalte1_Reihe28_R4S_149_R,28,1,28,149,505.0,0.505,10,50.5,,28,1i,
Plot29_Spalte1_Reihe29_R4S_221_M,29,1,29,221,462.0,0.462,9,51.333333333333336,,29,0,
Plot30_Spalte1_Reihe30_R4S_296_E,30,1,30,296,442.0,0.442,10,44.2,,30,0,
Plot31_Spalte1_Reihe31_R4S_181_E,31,1,31,181,545.0,0.545,10,54.5,,31,0,
Plot32_Spalte1_Reihe32_R4S_532_W,32,1,32,532,483.0,0.483,10,48.3,,32,0,
Plot33_Spalte1_Reihe33_R4S_327_Y,33,1,33,327,71.0,0.071,10,7.1,,33,1 inside,
Plot34_Spalte1_Reihe34_R4S_358_P,34,1,34,358,394.0,0.394,10,39.4,,34,0,
Plot35_Spalte1_Reihe35_R4S_366_N,35,1,35,366,519.0,0.519,10,51.9,,35,2i,
Plot36_Spalte1_Reihe36_R4S_359_S,36,1,36,359,185.0,0.185,10,18.5,,36,1i,
Plot37_Spalte1_Reihe37_R4S_269_B,37,1,37,269,550.0,0.55,10,55.0,,37,2i,
Plot38_Spalte1_Reihe38_R4S_216_O,38,1,38,216,559.0,0.559,10,55.9,flowering,38,3,
Plot39_Spalte1_Reihe39_R4S_233_L,39,1,39,233,411.0,0.411,10,41.1,,39,4i,
Plot40_Spalte1_Reihe40_R4S_195_N,40,1,40,195,473.0,0.473,10,47.3,,40,4i,
Plot41_Spalte1_Reihe41_R4S_471_H,41,1,41,471,67.0,0.067,10,6.7,,41,0,
Plot42_Spalte1_Reihe42_R4S_288_S,42,1,42,288,361.0,0.361,10,36.1,,42,0,
Plot43_Spalte1_Reihe43_R4S_305_C,43,1,43,305,56.8,0.056799999999999996,9,6.311111111111111,dick  root small plants,43,0,
Plot44_Spalte1_Reihe44_R4S_189_C,44,1,44,189,218.0,0.218,10,21.8,,44,0,
Plot45_Spalte1_Reihe45_R4S_385_M,45,1,45,385,346.0,0.346,10,34.6,,45,3i,
Plot46_Spalte1_Reihe46_R4S_280_L,46,1,46,280,303.0,0.303,10,30.3,,46,0,
Plot47_Spalte1_Reihe47_R4S_551_A,47,1,47,551,742.0,0.742,10,74.2,,47,0,
Plot48_Spalte1_Reihe48_R4S_154_C,48,1,48,154,333.0,0.333,10,33.3,,48,0,
Plot49_Spalte1_Reihe49_R4S507_Ex,49,1,49,507,420.0,0.42,10,42.0,,49,0,
Plot50_Spalte1_Reihe50_R4S_275_H,50,1,50,275,260.0,0.26,10,26.0,,50,0,
Plot51_Spalte1_Reihe51_R4S_184_N,51,1,51,184,317.0,0.317,10,31.7,,51,0,
Plot52_Spalte1_Reihe52_R4S_395_D,52,1,52,395,269.0,0.269,10,26.9,,52,1,
Plot53_Spalte1_Reihe53_R4S_199_M,53,1,53,199,270.0,0.27,10,27.0,,53,0,
Plot54_Spalte1_Reihe54_R4S_525_T,54,1,54,525,441.0,0.441,10,44.1,,54,0,
Plot55_Spalte1_Reihe55_R4S_240_M,55,1,55,240,430.0,0.43,10,43.0,,55,0,
Plot56_Spalte1_Reihe56_R4S_294_R,56,1,56,294,83.0,0.083,10,8.3,,56,6i,
Plot57_Spalte1_Reihe57_R4S_217_J,57,1,57,217,209.0,0.209,10,20.9,,57,0,
Plot58_Spalte1_Reihe58_R4S_398_B,58,1,58,398,378.0,0.378,10,37.8,,58,0,
Plot59_Spalte1_Reihe59_R4S_501_L,59,1,59,501,803.0,0.803,10,80.3,,59,15i,
Plot60_Spalte1_Reihe60_R4S_490_R,60,1,60,490,298.0,0.298,10,29.8,,60,1i,
Plot61_Spalte2_Reihe1_R4S_443_J ,61,2,1,443,300.0,0.3,10,30.0,,61,0,
Plot62_Spalte2_Reihe2_R4S_331_Ma,62,2,2,331,78.0,0.078,10,7.8,very little plants,62,3i,
Plot63_Spalte2_Reihe3_R4S_156_Vi,63,2,3,156,469.0,0.469,10,46.9,,63,3i,
Plot64_Spalte2_Reihe4_R4S_494_DS,64,2,4,494,715.0,0.715,10,71.5,,64,0,
Plot65_Spalte2_Reihe5_R4S_151_On,65,2,5,151,189.0,0.189,10,18.9,,65,1i,
Plot66_Spalte2_Reihe6_R4S_292_V8,66,2,6,292,448.0,0.448,10,44.8,,66,0,
Plot67_Spalte2_Reihe7_R4S_203_Fl,67,2,7,203,698.0,0.698,10,69.8,,67,9 inside,
Plot68_Spalte2_Reihe8_R4S_204_Le,68,2,8,204,521.0,0.521,11,47.36363636363637,,68,4i,
Plot69_Spalte2_Reihe9_R4S_329_Ro,69,2,9,329,211.0,0.211,10,21.1,,69,0,
Plot70_Spalte2_Reihe10_R4S_539_S,70,2,10,539,638.0,0.638,10,63.8,,70,0,
Plot71_Spalte2_Reihe11_R4S_169_T,71,2,11,169,430.0,0.43,10,43.0,,71,0,
Plot72_Spalte2_Reihe12_R4S_197_S,72,2,12,197,298.0,0.298,10,29.8,,72,0,
Plot73_Spalte2_Reihe13_R4S_166_N,73,2,13,166,510.0,0.51,10,51.0,,73,0,
Plot74_Spalte2_Reihe14_R4S_343_D,74,2,14,343,486.0,0.486,10,48.6,,74,0,
Plot75_Spalte2_Reihe15_R4S_279_L,75,2,15,279,302.0,0.302,10,30.2,,75,0,
Plot76_Spalte2_Reihe16_R4S_417_H,76,2,16,417,261.0,0.261,10,26.1,,76,0,
Plot77_Spalte2_Reihe17_R4S_451_S,77,2,17,451,359.0,0.359,10,35.9,,77,2i,
Plot78_Spalte2_Reihe18_R4S_522_T,78,2,18,522,635.0,0.635,10,63.5,,78,0,
Plot79_Spalte2_Reihe19_R4S_391_J,79,2,19,391,584.0,0.584,11,53.090909090909086,,79,1,
Plot80_Spalte2_Reihe20_R4S_246_L,80,2,20,246,786.0,0.786,10,78.59999999999998,,80,2i,diptera pupae?
Plot81_Spalte2_Reihe21_R4S_373_2,81,2,21,373,114.0,0.114,10,11.4,,81,0,
Plot82_Spalte2_Reihe22_R4S_345_B,82,2,22,345,593.0,0.593,10,59.3,,82,0,
Plot83_Spalte2_Reihe23_R4S_289_S,83,2,23,289,386.0,0.386,10,38.6,,83,0,
Plot84_Spalte2_Reihe24_R4S_243_S,84,2,24,243,387.0,0.387,10,38.7,,84,6i,
Plot85_Spalte2_Reihe25_R4S_190_R,85,2,25,190,532.0,0.532,10,53.2,,85,0,
Plot86_Spalte2_Reihe26_R4S_505_E,86,2,26,505,500.0,0.5,10,50.0,,86,3 inside,
Plot87_Spalte2_Reihe27_R4S_157_B,87,2,27,157,587.0,0.587,10,58.7,,87,0,
Plot88_Spalte2_Reihe28_R4S_285_Q,88,2,28,285,437.0,0.437,10,43.7,,88,1 inside,
Plot89_Spalte2_Reihe29_R4S_263_A,89,2,29,263,486.0,0.486,10,48.6,,missing?,,
Plot90_Spalte2_Reihe30_R4S_268_A,90,2,30,268,408.0,0.408,10,40.8,,90,0,
Plot91_Spalte2_Reihe31_R4S_499_R,91,2,31,499,591.0,0.591,10,59.1,,91,5i / 1 pupae,
Plot92_Spalte2_Reihe32_R4S_428_S,92,2,32,428,265.0,0.265,9,29.444444444444443,,92,0,
Plot93_Spalte2_Reihe33_R4S_438_R,93,2,33,438,228.0,0.228,10,22.8,,93,18i,very small
Plot94_Spalte2_Reihe34_R4S_489_S,94,2,34,489,160.0,0.16,10,16.0,,94,0,
Plot95_Spalte2_Reihe35_R4S_458_F,95,2,35,458,194.0,0.194,10,19.4,,95,26i,very small
Plot96_Spalte2_Reihe36_R4S_498_R,96,2,36,498,530.0,0.53,10,53.0,,96,0,
Plot97_Spalte2_Reihe37_R4S_506_E,97,2,37,506,418.0,0.418,10,41.8,,97,0,
Plot98_Spalte2_Reihe38_R4S_341_P,98,2,38,341,143.0,0.143,10,14.3,,98,0,
Plot99_Spalte2_Reihe39_R4S_215_S,99,2,39,215,341.0,0.341,10,34.1,crf heavy,99,0,
Plot100_Spalte2_Reihe40_R4S_273_,100,2,40,273,469.0,0.469,10,46.9,,100,0,
Plot101_Spalte2_Reihe41_R4S_259_,101,2,41,259,553.0,0.553,10,55.3,,101,0,
Plot102_Spalte2_Reihe42_R4S_497_,102,2,42,497,675.0,0.675,10,67.5,,102,0,
Plot103_Spalte2_Reihe43_R4S_255_,103,2,43,255,391.0,0.391,10,39.1,,103,1i,
Plot104_Spalte2_Reihe44_R4S_335_,104,2,44,335,86.0,0.086,10,8.6,very small plant,104,4i,
Plot105_Spalte2_Reihe45_R4S_308_,105,2,45,308,554.0,0.554,10,55.4,,105,0,
Plot106_Spalte2_Reihe46_R4S_394_,106,2,46,394,360.0,0.36,10,36.0,,106,0,
Plot107_Spalte2_Reihe47_R4S_161_,107,2,47,161,601.0,0.601,9,66.77777777777777,,107,2 inside,
Plot108_Spalte2_Reihe48_R4S_211_,108,2,48,211,454.0,0.454,10,45.4,,108,0,
Plot109_Spalte2_Reihe49_R4S_143_,109,2,49,143,407.0,0.407,11,37.0,,109,1,
Plot110_Spalte2_Reihe50_R4S_382_,110,2,50,382,337.0,0.337,10,33.7,,110,0,
Plot111_Spalte2_Reihe51_R4S_318_,111,2,51,318,188.0,0.188,10,18.8,,111,1i,
Plot112_Spalte2_Reihe52_R4S_286_,112,2,52,286,317.0,0.317,10,31.7,,112,0,
Plot113_Spalte2_Reihe53_R4S_434_,113,2,53,434,187.0,0.187,10,18.7,,113,1,
Plot114_Spalte2_Reihe54_R4S_236_,114,2,54,236,279.0,0.279,10,27.9,,114,0,
Plot115_Spalte2_Reihe55_R4S_377_,115,2,55,377,523.0,0.523,10,52.3,,115,0,
Plot116_Spalte2_Reihe56_R4S_170_,116,2,56,170,195.0,0.195,10,19.5,,116,3i,
Plot117_Spalte2_Reihe57_R4S_326_,117,2,57,326,74.0,0.074,10,7.4,,117,0,
Plot118_Spalte2_Reihe58_R4S_543_,118,2,58,543,516.0,0.516,10,51.6,,118,0,
Plot119_Spalte2_Reihe59_R4S_440_,119,2,59,440,615.0,0.615,10,61.5,,119,1i,
Plot120_Spalte2_Reihe60_R4S_336_,120,2,60,336,31.0,0.031,10,3.1,very little plants,120,0,
Plot121_Spalte3_Reihe1_R4S_325_T,121,3,1,325,664.0,0.664,10,66.4,,121,1,
