r4s,genotype_name
470,A4C34
212,Askari
291,Wolynski
387,Lirafit
433,SEM
521,Taisetsu
406,S30
427,J 154
209,Falcon
442,INL 2
386,Major
437,S2
177,SLM 0512
408,DH5 Oase x Nugget  PBY061 von NPZ
389,Librador
265,Pirola
242,SWGospel
187,AMBER X COMMANCHE DH LINE
531,WINFRED
147,Picasso
266,Alaska
224,APEX-93_5 X GINYOU_3 DH LINE
379,Skrzeszowicki
384,Mestnij
344,Conqueror Bronze Green Top
225,Barrel
342,Peerless (Acme)
149,Rapid
221,MADRIGAL x RECITAL DH LINE
296,EMERALD
181,Express 617
532,WINFRED
327,York
358,PI271452
366,Nunsdale
359,SIBERISCHE BOERENKOOL
269,Baltia
216,OLIMPIADE
233,LSF 0519
195,NORIN
471,H61
288,Slovenska Krajova
305,COUVE NABICA
189,CAPRICORN DH1
385,Markus
280,Lirakotta
551,ALLESANDRO KWS
154,Cooper
507,Express 617
275,Hokkai 3-Go
184,NK Nemax
395,Dippes
199,Maplus
525,Taisetsu
240,Musette
294,R53
217,JANETZKIS SCHLESISCHER
398,Bolko
501,LG Avenger
490,R8
443,J 104
331,Magres Pajberg
156,Vivol
494,DSV1
151,Ontario
292,V8
203,Flip
204,Leopard
329,Rotabaggeue
539,Smaragd
169,Tenor
197,Samourai
166,NK Fair
343,Drummonds Purple Top
279,Liglory
417,H355
451,S5
522,Taisetsu
391,Jantar
246,Laser
373,25629-3
345,Bangholm PT
289,Start
243,Sansibar
190,RAFAL DH1
505,Express 617
157,BRISTOL
285,Quedlinburger Platzfester
263,Agalon
268,Anja
499,R4S_NPZ3
428,S35
438,R99
489,S16
458,FS94.3
498,R4S_NPZ2
506,Express 617
341,Purple Top
215,SHANG-YOU
273,Edita
259,Escort
497,R4S_NPZ1
255,Atlantic
335,Dalo Trifolium
308,ABUKUMA NATANE
394,Erra
161,OASE
211,Lirabon
143,Robust
382,Norde
318,SENSATION NZ
286,Ramses
434,J 134
236,Baros
377,Sonnengold
170,Kvintett
326,Tipperary (Magnificent)
543,Smaragd
440,R59
336,Wilhelmsburger Reform
325,Tankard Bronze Top
150,Montego
271,Coriander
478,H357
287,Skziverskij
168,Verona
530,WINFRED
319,Altasweet
207,Phil
300,Michinaku natane
173,Aurum
487,S13
355,RAPID CYCLING RAPE (CrGC5)
256,Ladoga
513,R31
317,PIKE
483,OLL 1
213,Akela
267,Alesi
298,Bladkool
477,OLY 2
167,Aviso
214,Sollux
220,EUROL
457,H31
185,NK Passion
495,DSV2
453,L16
399,Resyn-Goe H226
254,Capitol
357,E94197
367,English Giant
160,Lion
541,Smaragd
270,Ceres
361,CHEMBERE DZAGUMHANA
302,Samo
405,L239
162,Recital
515,R31
299,Liragruen
226,Lilian
234,Zephir
290,Trebicska
163,Magnum
542,Smaragd
262,Lord
362,BRAUNER SCHNITTKOHL
484,R75
301,Parapluie
247,Madrigal
454,S3
396,Diamant
164,Fortis
534,WINFRED
322,Essex Model
371,MOANA MOANA RAPE
313,FORTIN FAMILY
219,Lesira
274,Guelzower Oelquell
503,Express 617
459,S14
278,Libritta
348,Wilhelmsburger
281,Madora
381,Panter
158,Lipid
436,RS13/6
380,Sarepta
323,Parkside
276,Jupiter
152,Missouri
504,Express 617
172,Aragon
502,LG Aviron
251,Lisabeth
183,Prince
407,S39
159,Lipton
372,CANARD
324,Scotia
500,LG Atlas
448,K160.1.1
549,ALLESANDRO KWS
205,RESYN-H048
352,LORD DERBY
346,Angus
439,R76
146,K615
523,Taisetsu
239,SW Sinatra
347,Aberdeenshire Prize
304,Q100
418,R64
237,Lorenz
550,ALLESANDRO KWS
365,Palu
238,Viking
334,Sator Oetofte
206,Resyn-Goe S4
339,Tina
315,VOGESA
533,WINFRED
264,Allure
488,R12
392,Janpol
368,Dwarf Essex
485,K29
260,Boston
435,S45.2.2
401,H231
179,Ascona
200,Darmor
148,Rodeo
397,Brink
492,FELICIANO KWS
496,DSV3
388,Liporta
422,G89
552,ALLESANDRO KWS
493,KWS ARIANOS
376,Victor
512,R31
461,H365
316,BRONZE TOP
375,Vinnickij 15/59
364,Silona
284,Nemertschanskij 1
452,G56
144,Adder
194,LEMBKES MALCHOWER (LENORA)
548,ALLESANDRO KWS
244,NK Bravour
460,K53
182,Pollen
229,Jessica
312,TAIWAN
252,Lirajet
231,Campari
540,Smaragd
223,BIENVENU DH4
424,R18
235,Nugget
283,Mytnickij
188,CANBERRA x COURAGE DH LINE
277,Krapphauser
514,R31
444,1012-98
145,Milena
466,L90
245,Roxet
218,SHANNON x WINNER DH LINE
230,Caramba
463,S101
465,S4
153,Manitoba
449,G50
378,Sobotkowski
227,Wotan
202,Mohican
524,Taisetsu
222,HANSEN X GASPARD DH LINE
393,Gross-Luesewitzer
306,RAGGED JACK
293,K26-96
447,K306
193,LICROWN X EXPRESS DH LINE
356,GRUENER SCHNITTKOHL
456,S17
516,R31
383,Moldavia
232,Beluga
171,Falstaff
332,Hollandse Gele Roodkop
429,L122
228,Orlando
272,Doral
180,Duell
