input_path,original_filename,output_basename,n_kept_worms,resumed,label_feldnr,label_x,label_y,label_r4s,label_complete,label_raw_text,sample_id,label_xy_confidence,count,qr_plot,qr_spalte,qr_reihe,qr_sample_id,qr_condition,qr_text,qr_detected
malchow_project\images\IMG_0686.jpg,IMG_0686.jpg,IMG-0686__qr-NOQR__deb2eeb5,294,True,5.0,1.0,9.0,433.0,True,FeldNr: 5 | X=i;y = 9 | R4s,433.0,high,294,5.0,1.0,9.0,433.0,R4S,FeldNr: 5 | X=i;y = 9 | R4s,True
malchow_project\images\IMG_0687.jpg,IMG_0687.jpg,IMG-0687__qr-NOQR__c71bbc32,283,True,,1.0,9.0,433.0,True,Wgocauitg | R4S  433 | MAL X | 3 | L | 1;Y,433.0,high,283,,1.0,9.0,433.0,R4S,Wgocauitg | R4S  433 | MAL X | 3 | L | 1;Y,True
malchow_project\images\IMG_0689.jpg,IMG_0689.jpg,IMG-0689__qr-NOQR__4b049273,390,True,4.0,1.0,8.0,387.0,True,Menedenede  | FeldNr: 4 | X=i;y = 8 | R4s | ',387.0,high,390,4.0,1.0,8.0,387.0,R4S,Menedenede  | FeldNr: 4 | X=i;y = 8 | R4s | ',True
malchow_project\images\IMG_0690.jpg,IMG_0690.jpg,IMG-0690__qr-NOQR__399ecdf9,395,True,,1.0,8.0,387.0,False,R4S 387 | MAL X | 3 | 2 | 1;Y,387.0,high,395,,1.0,8.0,387.0,R4S,R4S 387 | MAL X | 3 | 2 | 1;Y,False
malchow_project\images\IMG_0692.jpg,IMG_0692.jpg,IMG-0692__qr-NOQR__f2e12144,249,True,1.0,1.0,5.0,470.0,True,FeldNr: 1 | R4s | x=1;y =5,470.0,high,249,1.0,1.0,5.0,470.0,R4S,FeldNr: 1 | R4s | x=1;y =5,True
malchow_project\images\IMG_0693.jpg,IMG_0693.jpg,IMG-0693__qr-NOQR__d8119c97,246,True,1.0,1.0,5.0,470.0,True,FeldNr: 1 | R4s | X=i;y=5,470.0,high,246,1.0,1.0,5.0,470.0,R4S,FeldNr: 1 | R4s | X=i;y=5,True
malchow_project\images\IMG_0694.jpg,IMG_0694.jpg,IMG-0694__qr-NOQR__ba20a23d,240,True,1.0,1.0,5.0,470.0,True,FeldNr: 1 | R4s | 470 | Xet;y = 5,470.0,high,240,1.0,1.0,5.0,470.0,R4S,FeldNr: 1 | R4s | 470 | Xet;y = 5,True
malchow_project\images\IMG_0696.jpg,IMG_0696.jpg,IMG-0696__qr-NOQR__9a3b2454,227,True,2.0,1.0,6.0,212.0,True,FeldNr: 2 | R4s | 212 | Xe1;y = 6,212.0,high,227,2.0,1.0,6.0,212.0,R4S,FeldNr: 2 | R4s | 212 | Xe1;y = 6,True
malchow_project\images\IMG_0697.jpg,IMG_0697.jpg,IMG-0697__qr-NOQR__039bf7c3,241,True,2.0,1.0,6.0,212.0,False,FeldNr: ? | XFt;y= 6 | R4s | 212,212.0,high,241,2.0,1.0,6.0,212.0,R4S,FeldNr: ? | XFt;y= 6 | R4s | 212,False
malchow_project\images\IMG_0699.jpg,IMG_0699.jpg,IMG-0699__qr-NOQR__40e649de,286,True,,1.0,7.0,291.0,True,3 | Snle( | FeleNNen | R4S | x=1;y =7,291.0,high,286,,1.0,7.0,291.0,R4S,3 | Snle( | FeleNNen | R4S | x=1;y =7,True
malchow_project\images\IMG_0700.jpg,IMG_0700.jpg,IMG-0700__qr-NOQR__39d7ca79,275,True,5.0,1.0,7.0,291.0,True,FelaNr: ? | Ras | x=1;y =7,291.0,high,275,5.0,1.0,7.0,291.0,R4S,FelaNr: ? | Ras | x=1;y =7,True
malchow_project\images\IMG_0702.jpg,IMG_0702.jpg,IMG-0702__qr-NOQR__6c1e29f0,182,True,6.0,1.0,10.0,521.0,True,FeldNr: 6 | R4s | X=1;y =10,521.0,high,182,6.0,1.0,10.0,521.0,R4S,FeldNr: 6 | R4s | X=1;y =10,True
