barcode,parcel_plot,parcel_spalte,parcel_reihe,parcel_r4s,genotype,plant_weight_g,plant_weight_kg,n_plants,plant_weight_per_plant_g,larvae_in_tray_manual
Feld1_R4S_470_A4C34,1,5.0,1.0,470,A4C34,162.0,0.162,10,16.2,9.0
Feld2_R4S_212_Askari,2,6.0,1.0,212,Askari,222.0,0.222,11,20.181818181818183,2.0
Feld3_R4S_291_Wolynski,3,7.0,1.0,291,Wolynski,278.0,0.278,10,27.8,
Feld4_R4S_387_Lirafit,4,8.0,1.0,387,Lirafit,378.0,0.378,10,37.8,8.0
Feld5_R4S_433_SEM,5,9.0,1.0,433,SEM,152.0,0.152,10,15.2,2.0
Feld6_R4S_521_Taisetsu,6,10.0,1.0,521,Taisetsu,334.0,0.334,10,33.4,
Feld7_R4S_406_S30,7,11.0,1.0,406,S30,311.0,0.311,10,31.1,1.0
Feld8_R4S_427_J 154,8,12.0,1.0,427,J 154,293.0,0.293,10,29.3,4.0
Feld9_R4S_209_Falcon,9,13.0,1.0,209,Falcon,239.0,0.239,9,26.555555555555557,
Feld10_R4S_442_INL 2,10,14.0,1.0,442,INL 2,313.0,0.313,10,31.3,
Feld11_R4S_386_Major,11,15.0,1.0,386,Major,391.0,0.391,10,39.1,
Feld12_R4S_437_S2,12,16.0,1.0,437,S2,259.0,0.259,10,25.9,11.0
Feld13_R4S_177_SLM 0512,13,17.0,1.0,177,SLM 0512,247.0,0.247,10,24.7,2.0
Feld14_R4S_408_DH5 Oase x Nugget  PBY061 von NPZ,14,18.0,1.0,408,DH5 Oase x Nugget  PBY061 von NPZ,308.0,0.308,10,30.8,4.0
Feld15_R4S_389_Librador,15,19.0,1.0,389,Librador,184.0,0.184,10,18.4,1.0
Feld16_R4S_265_Pirola,16,20.0,1.0,265,Pirola,165.0,0.165,9,18.333333333333332,6.0
Feld17_R4S_242_SWGospel,17,21.0,1.0,242,SWGospel,285.0,0.285,10,28.5,
Feld18_R4S_187_AMBER X COMMANCHE DH LINE,18,22.0,1.0,187,AMBER X COMMANCHE DH LINE,318.0,0.318,10,31.8,7.0
Feld19_R4S_531_WINFRED,19,23.0,1.0,531,WINFRED,202.0,0.202,10,20.2,1.0
Feld20_R4S_147_Picasso,20,24.0,1.0,147,Picasso,186.0,0.186,10,18.6,1.0
Feld21_R4S_266_Alaska,21,25.0,1.0,266,Alaska,180.0,0.18,10,18.0,0.0
Feld22_R4S_224_APEX-93_5 X GINYOU_3 DH LINE,22,26.0,1.0,224,APEX-93_5 X GINYOU_3 DH LINE,346.0,0.346,10,34.6,2.0
Feld23_R4S_379_Skrzeszowicki,23,27.0,1.0,379,Skrzeszowicki,240.0,0.24,9,26.666666666666668,3.0
Feld24_R4S_384_Mestnij,24,28.0,1.0,384,Mestnij,115.0,0.115,10,11.5,
Feld25_R4S_344_Conqueror Bronze Green Top,25,29.0,1.0,344,Conqueror Bronze Green Top,124.0,0.124,10,12.4,3.0
Feld26_R4S_225_Barrel,26,30.0,1.0,225,Barrel,295.0,0.295,10,29.5,2.0
Feld27_R4S_342_Peerless (Acme),27,31.0,1.0,342,Peerless (Acme),59.0,0.059,10,5.9,
Feld28_R4S_149_Rapid,28,32.0,1.0,149,Rapid,270.0,0.27,10,27.0,2.0
