qr_code,plot,reihe,spalte,genotype,is_smagrad_separator,larvae_manual,larvae_raw,obs
R4S_422,239.0,7.0,23.0,Lipton,False,2,2i,
R4S_211,108.0,3.0,36.0,Smaragd,True,40,40i,part. Very small
R4S_435,230.0,7.0,14.0,Parkside,False,1,1i,
R4S_434,113.0,4.0,5.0,R4S_NPZ3,False,1,1i,
R4S_397,235.0,7.0,19.0,LG Aviron,False,5,5i,
R4S_233,39.0,2.0,3.0,Smaragd,True,0,0,
R4S_287,287.0,8.0,35.0,Smaragd,True,5,5i,
R4S_344,25.0,1.0,25.0,Alaska,False,4,4i,
R4S_387,4.0,1.0,4.0,Smaragd,True,2,2i,
R4S_471,41.0,2.0,5.0,Express 617,False,0,0,
R4S_308,105.0,3.0,33.0,Agalon,False,5,5i,
R4S_495,147.0,5.0,3.0,Smaragd,True,2,2i,
R4S_335,104.0,3.0,32.0,Quedlinburger Platzfester,False,0,0,
R4S_418,214.0,6.0,34.0,Guelzower Oelquell,False,10,10i,
R4S_245,272.0,8.0,20.0,Janpol,False,12,12i,
R4S_347,212.0,6.0,32.0,FORTIN FAMILY,False,1,1i,
R4S_215,99.0,3.0,27.0,Start,False,5,5i,
R4S_449,278.0,8.0,26.0,Ascona,False,3,3i,
R4S_319,128.0,4.0,20.0,Erra,False,20,20i,
R4S_195,40.0,2.0,4.0,Smaragd,True,0,0,
R4S_394,106.0,3.0,34.0,Anja,False,4,4i,
R4S_371,,,,,,9,9i,
R4S_496,237.0,7.0,21.0,Prince,False,2,2i,
R4S_378,279.0,8.0,27.0,Darmor,False,2,2i,
R4S_200,233.0,7.0,17.0,Express 617,False,45,45i,
R4S_185,146.0,5.0,2.0,Smaragd,True,9,9i,
R4S_478,124.0,4.0,16.0,R4S_NPZ1,False,5,5i,
R4S_180,300.0,9.0,12.0,Nemertschanskij 1,False,1,1i,
R4S_317,136.0,4.0,28.0,Baros,False,21,21i,
RAS_320,287.0,8.0,35.0,Smaragd,True,0,0,
R4S_273,100.0,3.0,28.0,Sansibar,False,42,42i,
R4S_276,191.0,6.0,11.0,Samo,False,0,0,
R4S_366,35.0,1.0,35.0,Smaragd,True,10,10i,
R4S_456,291.0,9.0,3.0,Smaragd,True,3,3i,
R4S_346,207.0,6.0,27.0,Diamant,False,20,20i,
