genotype_id,qr_plot,qr_spalte,qr_reihe,genotype_name
143,109,2,49,
144,250,5,10,
145,270,5,30,
146,209,4,29,
147,20,1,20,
149,28,1,28,
150,122,3,2,
151,65,2,5,
152,192,4,12,
153,277,5,37,
154,48,1,48,
156,63,2,3,
157,87,2,27,
158,187,4,7,
159,199,4,19,
160,153,3,33,
161,107,2,47,
162,159,3,39,
163,165,3,45,
164,174,3,54,
166,73,2,13,
167,142,3,22,
168,126,3,6,
169,71,2,11,
170,116,2,56,
171,295,5,55,
172,194,4,14,
173,131,3,11,
177,13,1,13,
179,232,4,52,
180,300,5,60,
181,31,1,31,
182,255,5,15,
183,197,4,17,
184,51,1,51,
185,146,3,26,
187,18,1,18,
188,266,5,26,
189,44,1,44,
190,85,2,25,
193,289,5,49,
194,251,5,11,
195,40,1,40,
197,72,2,12,
199,53,1,53,
200,233,4,53,
202,281,5,41,
203,67,2,7,
204,68,2,8,
205,205,4,25,
206,220,4,40,
207,129,3,9,
209,9,1,9,
211,108,2,48,
212,2,1,2,
213,138,3,18,
214,143,3,23,
215,99,2,39,
216,38,1,38,
217,57,1,57,
218,273,5,33,
219,179,3,59,
220,144,3,24,
221,29,1,29,
222,283,5,43,
223,262,5,22,
224,22,1,22,
225,26,1,26,
226,162,3,42,
227,280,5,40,
228,298,5,58,
229,256,5,16,
230,274,5,34,
231,260,5,20,
232,294,5,54,
233,39,1,39,
234,163,3,43,
235,264,5,24,
236,114,2,54,
237,215,4,35,
238,218,4,38,
239,211,4,31,
240,55,1,55,
242,17,1,17,
243,84,2,24,
244,253,5,13,
245,272,5,32,
246,80,2,20,
247,171,3,51,
251,196,4,16,
252,259,5,19,
254,150,3,30,
255,103,2,43,
256,134,3,14,
259,101,2,41,
260,229,4,49,
262,167,3,47,
263,89,2,29,
264,224,4,44,
265,16,1,16,
266,21,1,21,
267,139,3,19,
268,90,2,30,
269,37,1,37,
270,155,3,35,
271,123,3,3,
272,299,5,59,
273,100,2,40,
274,180,3,60,
275,50,1,50,
276,191,4,11,
277,267,5,27,
278,183,4,3,
279,75,2,15,
280,46,1,46,
281,185,4,5,
283,265,5,25,
284,248,5,8,
285,88,2,28,
286,112,2,52,
287,125,3,5,
288,42,1,42,
289,83,2,23,
290,164,3,44,
291,3,1,3,
292,66,2,6,
293,286,5,46,
294,56,1,56,
296,30,1,30,
298,140,3,20,
299,161,3,41,
300,130,3,10,
301,170,3,50,
302,157,3,37,
304,213,4,33,
305,43,1,43,
306,285,5,45,
308,105,2,45,
312,258,5,18,
313,178,3,58,
315,222,4,42,
316,245,5,5,
317,136,3,16,
318,111,2,51,
319,128,3,8,
320,287,5,47,
322,176,3,56,
323,190,4,10,
324,201,4,21,
325,121,3,1,
326,117,2,57,
327,33,1,33,
329,69,2,9,
331,62,2,2,
332,296,5,56,
334,219,4,39,
335,104,2,44,
336,120,2,60,
339,221,4,41,
341,98,2,38,
342,27,1,27,
343,74,2,14,
344,25,1,25,
345,82,2,22,
346,207,4,27,
347,212,4,32,
348,184,4,4,
352,206,4,26,
355,133,3,13,
356,290,5,50,
357,151,3,31,
358,34,1,34,
359,36,1,36,
361,156,3,36,
362,168,3,48,
364,247,5,7,
365,217,4,37,
366,35,1,35,
367,152,3,32,
368,227,4,47,
371,177,3,57,
372,200,4,20,
373,81,2,21,
375,246,5,6,
376,242,5,2,
377,115,2,55,
378,279,5,39,
379,23,1,23,
380,189,4,9,
381,186,4,6,
382,110,2,50,
383,293,5,53,
384,24,1,24,
385,45,1,45,
386,11,1,11,
387,4,1,4,
388,238,4,58,
389,15,1,15,
391,79,2,19,
392,226,4,46,
393,284,5,44,
394,106,2,46,
395,52,1,52,
396,173,3,53,
397,235,4,55,
398,58,1,58,
399,149,3,29,
401,231,4,51,
405,158,3,38,
406,7,1,7,
407,198,4,18,
408,14,1,14,
417,76,2,16,
418,214,4,34,
422,239,4,59,
424,263,5,23,
427,8,1,8,
428,92,2,32,
429,297,5,57,
433,5,1,5,
434,113,2,53,
435,230,4,50,
436,188,4,8,
437,12,1,12,
438,93,2,33,
439,208,4,28,
440,119,2,59,
442,10,1,10,
443,61,2,1,
444,269,5,29,
447,288,5,48,
448,203,4,23,
449,278,5,38,
451,77,2,17,
452,249,5,9,
453,148,3,28,
454,172,3,52,
456,291,5,51,
457,145,3,25,
458,95,2,35,
459,182,4,2,
460,254,5,14,
461,244,5,4,
463,275,5,35,
465,276,5,36,
466,271,5,31,
470,1,1,1,
471,41,1,41,
477,141,3,21,
478,124,3,4,
483,137,3,17,
484,169,3,49,
485,228,4,48,
487,132,3,12,
488,225,4,45,
489,94,2,34,
490,60,1,60,
492,236,4,56,
493,241,5,1,
494,64,2,4,
495,147,3,27,
496,237,4,57,
497,102,2,42,
498,96,2,36,
499,91,2,31,
500,202,4,22,
501,59,1,59,
502,195,4,15,
503,181,4,1,
504,193,4,13,
505,86,2,26,
506,97,2,37,
507,49,1,49,
512,243,5,3,
513,135,3,15,
514,268,5,28,
515,160,3,40,
516,292,5,52,
521,6,1,6,
522,78,2,18,
523,210,4,30,
524,282,5,42,
525,54,1,54,
530,127,3,7,
531,19,1,19,
532,32,1,32,
533,223,4,43,
534,175,3,55,
539,70,2,10,
540,261,5,21,
541,154,3,34,
542,166,3,46,
543,118,2,58,
548,252,5,12,
549,204,4,24,
550,216,4,36,
551,47,1,47,
552,240,4,60,
553,257,5,17,
